iter	Passed	Remaining
0	186	186104
1	229	114291
2	272	90482
3	317	79045
4	362	72200
5	407	67513
6	452	64234
7	505	62671
8	548	60440
9	592	58652
10	637	57323
11	681	56094
12	725	55094
13	768	54157
14	813	53403
15	856	52675
16	899	52037
17	945	51563
18	989	51064
19	1033	50632
20	1077	50246
21	1120	49819
22	1165	49499
23	1208	49146
24	1252	48834
25	1295	48520
26	1337	48216
27	1383	48016
28	1429	47850
29	1475	47703
30	1519	47492
31	1562	47262
32	1606	47068
33	1650	46899
34	1696	46779
35	1740	46597
36	1785	46472
37	1829	46322
38	1875	46212
39	1920	46088
40	1964	45955
41	2012	45907
42	2060	45850
43	2109	45837
44	2163	45911
45	2212	45884
46	2265	45946
47	2322	46069
48	2365	45910
49	2408	45759
50	2454	45678
51	2498	45540
52	2541	45412
53	2585	45287
54	2629	45171
55	2671	45039
56	2715	44922
57	2759	44819
58	2803	44712
59	2846	44597
60	2896	44582
61	2942	44519
62	2986	44416
63	3029	44299
64	3072	44201
65	3115	44082
66	3158	43983
67	3201	43883
68	3245	43788
69	3289	43707
70	3331	43593
71	3373	43486
72	3419	43425
73	3472	43452
74	3528	43518
75	3577	43499
76	3621	43409
77	3664	43314
78	3708	43240
79	3751	43140
80	3796	43072
81	3838	42975
82	3882	42894
83	3927	42827
84	3969	42728
85	4013	42651
86	4056	42570
87	4099	42490
88	4145	42437
89	4191	42376
90	4236	42316
91	4278	42224
92	4321	42141
93	4363	42056
94	4406	41981
95	4451	41915
96	4493	41834
97	4537	41758
98	4580	41684
99	4622	41606
100	4665	41526
101	4708	41452
102	4750	41368
103	4794	41307
104	4837	41237
105	4880	41165
106	4925	41103
107	4967	41031
108	5010	40957
109	5053	40883
110	5094	40805
111	5137	40734
112	5182	40678
113	5224	40607
114	5268	40542
115	5309	40460
116	5351	40384
117	5395	40328
118	5437	40257
119	5480	40189
120	5523	40127
121	5567	40065
122	5609	39994
123	5653	39939
124	5697	39882
125	5739	39813
126	5784	39760
127	5826	39690
128	5870	39639
129	5914	39582
130	5957	39519
131	6000	39457
132	6044	39402
133	6087	39344
134	6131	39285
135	6179	39255
136	6222	39195
137	6264	39127
138	6305	39057
139	6347	38991
140	6389	38928
141	6434	38879
142	6475	38808
143	6517	38743
144	6560	38682
145	6602	38622
146	6646	38567
147	6689	38510
148	6732	38451
149	6775	38396
150	6818	38338
151	6861	38278
152	6904	38222
153	6947	38164
154	6990	38110
155	7032	38048
156	7075	37989
157	7117	37932
158	7160	37875
159	7204	37821
160	7250	37784
161	7291	37719
162	7334	37662
163	7378	37612
164	7421	37558
165	7465	37505
166	7508	37453
167	7552	37402
168	7595	37349
169	7637	37289
170	7681	37241
171	7724	37183
172	7767	37130
173	7810	37077
174	7854	37028
175	7897	36976
176	7940	36922
177	7985	36876
178	8027	36817
179	8069	36762
180	8111	36704
181	8154	36649
182	8200	36612
183	8242	36554
184	8285	36501
185	8328	36449
186	8371	36397
187	8414	36345
188	8456	36287
189	8498	36231
190	8541	36176
191	8584	36127
192	8625	36068
193	8668	36015
194	8711	35962
195	8753	35908
196	8797	35859
197	8840	35808
198	8885	35764
199	8927	35709
200	8969	35656
201	9012	35603
202	9056	35556
203	9098	35501
204	9140	35447
205	9183	35395
206	9226	35344
207	9269	35296
208	9312	35243
209	9354	35190
210	9398	35144
211	9443	35099
212	9485	35047
213	9529	35001
214	9573	34955
215	9616	34905
216	9660	34856
217	9703	34806
218	9748	34764
219	9791	34714
220	9834	34664
221	9876	34611
222	9919	34561
223	9962	34511
224	10005	34462
225	10048	34412
226	10090	34359
227	10132	34308
228	10174	34255
229	10220	34217
230	10263	34166
231	10304	34111
232	10346	34059
233	10389	34009
234	10431	33956
235	10473	33904
236	10514	33849
237	10557	33802
238	10601	33756
239	10643	33704
240	10686	33656
241	10728	33603
242	10771	33555
243	10814	33506
244	10855	33452
245	10896	33397
246	10937	33344
247	10980	33296
248	11024	33250
249	11066	33200
250	11110	33153
251	11152	33102
252	11195	33055
253	11235	32999
254	11278	32952
255	11320	32901
256	11362	32850
257	11405	32801
258	11446	32747
259	11487	32693
260	11528	32643
261	11572	32597
262	11614	32546
263	11658	32503
264	11700	32452
265	11743	32405
266	11786	32358
267	11828	32306
268	11869	32255
269	11912	32207
270	11953	32154
271	11996	32107
272	12037	32056
273	12078	32004
274	12121	31956
275	12163	31907
276	12208	31865
277	12252	31821
278	12300	31786
279	12349	31756
280	12392	31710
281	12435	31661
282	12479	31616
283	12521	31568
284	12564	31520
285	12608	31476
286	12651	31430
287	12695	31385
288	12739	31341
289	12782	31296
290	12824	31246
291	12867	31198
292	12909	31150
293	12951	31102
294	12994	31054
295	13037	31008
296	13080	30961
297	13122	30912
298	13164	30863
299	13206	30815
300	13247	30764
301	13291	30719
302	13333	30672
303	13377	30628
304	13419	30578
305	13461	30531
306	13504	30484
307	13547	30437
308	13590	30392
309	13634	30347
310	13677	30302
311	13720	30254
312	13763	30209
313	13807	30166
314	13850	30119
315	13893	30073
316	13935	30024
317	13977	29975
318	14019	29928
319	14061	29880
320	14104	29834
321	14147	29788
322	14189	29741
323	14236	29704
324	14278	29655
325	14319	29605
326	14362	29559
327	14405	29514
328	14448	29467
329	14490	29419
330	14531	29369
331	14575	29325
332	14618	29280
333	14660	29232
334	14703	29188
335	14747	29143
336	14790	29097
337	14833	29051
338	14875	29004
339	14917	28957
340	14959	28910
341	15000	28860
342	15042	28813
343	15084	28765
344	15125	28716
345	15168	28670
346	15209	28622
347	15252	28576
348	15294	28529
349	15343	28494
350	15390	28457
351	15433	28411
352	15476	28366
353	15519	28320
354	15562	28274
355	15605	28229
356	15647	28183
357	15692	28140
358	15734	28094
359	15778	28051
360	15821	28004
361	15864	27959
362	15904	27910
363	15946	27862
364	15988	27814
365	16031	27770
366	16072	27721
367	16113	27673
368	16155	27626
369	16196	27578
370	16244	27540
371	16286	27494
372	16330	27451
373	16374	27407
374	16417	27363
375	16460	27317
376	16502	27270
377	16544	27224
378	16588	27180
379	16629	27133
380	16672	27086
381	16717	27045
382	16761	27002
383	16804	26957
384	16846	26910
385	16889	26865
386	16933	26821
387	16975	26775
388	17019	26732
389	17061	26685
390	17105	26641
391	17147	26596
392	17189	26549
393	17234	26507
394	17276	26462
395	17318	26414
396	17361	26370
397	17404	26324
398	17445	26277
399	17487	26230
400	17530	26185
401	17573	26141
402	17617	26098
403	17658	26051
404	17701	26006
405	17744	25960
406	17787	25916
407	17827	25867
408	17870	25822
409	17913	25777
410	17955	25732
411	17997	25686
412	18040	25641
413	18082	25595
414	18124	25549
415	18167	25504
416	18210	25459
417	18256	25419
418	18299	25375
419	18342	25329
420	18385	25285
421	18428	25240
422	18471	25195
423	18513	25151
424	18556	25106
425	18601	25063
426	18641	25015
427	18684	24971
428	18726	24925
429	18767	24877
430	18809	24832
431	18851	24786
432	18894	24741
433	18935	24694
434	18980	24652
435	19022	24607
436	19064	24561
437	19108	24518
438	19153	24476
439	19196	24431
440	19238	24385
441	19280	24340
442	19322	24295
443	19364	24249
444	19407	24204
445	19452	24163
446	19500	24124
447	19542	24078
448	19587	24036
449	19630	23992
450	19672	23947
451	19717	23905
452	19762	23863
453	19804	23817
454	19848	23774
455	19890	23729
456	19934	23685
457	19977	23641
458	20021	23598
459	20065	23555
460	20108	23510
461	20151	23466
462	20193	23420
463	20234	23374
464	20281	23335
465	20324	23290
466	20368	23247
467	20410	23201
468	20456	23160
469	20499	23116
470	20542	23072
471	20584	23026
472	20625	22979
473	20668	22936
474	20713	22894
475	20755	22848
476	20798	22803
477	20840	22758
478	20884	22715
479	20926	22670
480	20969	22626
481	21012	22582
482	21054	22536
483	21097	22492
484	21139	22447
485	21182	22403
486	21223	22356
487	21266	22312
488	21308	22267
489	21351	22223
490	21394	22179
491	21436	22133
492	21477	22087
493	21520	22043
494	21563	21998
495	21605	21954
496	21651	21912
497	21693	21868
498	21737	21824
499	21779	21779
500	21820	21733
501	21862	21688
502	21906	21644
503	21949	21601
504	21991	21556
505	22034	21511
506	22074	21465
507	22116	21420
508	22160	21376
509	22202	21331
510	22246	21288
511	22288	21243
512	22344	21212
513	22388	21168
514	22432	21125
515	22473	21079
516	22515	21034
517	22557	20990
518	22601	20946
519	22645	20903
520	22689	20860
521	22733	20816
522	22775	20772
523	22821	20730
524	22862	20684
525	22904	20639
526	22946	20595
527	22987	20549
528	23029	20504
529	23072	20460
530	23114	20415
531	23156	20370
532	23198	20325
533	23241	20281
534	23281	20235
535	23326	20193
536	23370	20149
537	23413	20105
538	23456	20062
539	23497	20016
540	23539	19971
541	23581	19926
542	23625	19883
543	23668	19839
544	23712	19797
545	23754	19752
546	23798	19708
547	23839	19663
548	23882	19618
549	23925	19575
550	23967	19530
551	24011	19487
552	24053	19442
553	24094	19397
554	24136	19352
555	24179	19308
556	24222	19265
557	24266	19221
558	24312	19180
559	24356	19137
560	24399	19093
561	24442	19049
562	24483	19004
563	24525	18959
564	24566	18913
565	24611	18871
566	24653	18827
567	24696	18783
568	24740	18740
569	24782	18695
570	24825	18651
571	24866	18606
572	24909	18562
573	24951	18518
574	24993	18473
575	25035	18428
576	25078	18384
577	25121	18341
578	25164	18297
579	25206	18252
580	25248	18208
581	25291	18164
582	25336	18121
583	25379	18078
584	25421	18034
585	25466	17991
586	25509	17948
587	25551	17903
588	25593	17859
589	25637	17815
590	25680	17772
591	25723	17728
592	25765	17683
593	25808	17640
594	25851	17596
595	25894	17552
596	25936	17508
597	25978	17463
598	26020	17419
599	26063	17375
600	26107	17332
601	26150	17288
602	26193	17245
603	26235	17200
604	26278	17157
605	26325	17115
606	26369	17072
607	26411	17028
608	26453	16984
609	26495	16939
610	26538	16895
611	26581	16852
612	26625	16808
613	26668	16765
614	26713	16723
615	26756	16679
616	26800	16635
617	26843	16592
618	26884	16547
619	26927	16504
620	26969	16459
621	27011	16415
622	27055	16372
623	27098	16328
624	27141	16284
625	27183	16240
626	27228	16197
627	27271	16154
628	27315	16111
629	27359	16068
630	27402	16024
631	27444	15980
632	27487	15936
633	27533	15894
634	27580	15853
635	27624	15810
636	27666	15766
637	27710	15722
638	27753	15679
639	27797	15636
640	27839	15591
641	27882	15548
642	27926	15504
643	27968	15461
644	28012	15417
645	28054	15373
646	28097	15329
647	28141	15287
648	28183	15242
649	28226	15198
650	28268	15154
651	28311	15110
652	28358	15069
653	28402	15026
654	28445	14982
655	28488	14938
656	28531	14895
657	28574	14851
658	28615	14807
659	28664	14766
660	28709	14723
661	28752	14680
662	28794	14636
663	28835	14591
664	28879	14548
665	28923	14505
666	28965	14461
667	29008	14417
668	29050	14373
669	29090	14328
670	29131	14283
671	29174	14239
672	29216	14195
673	29256	14150
674	29298	14106
675	29343	14063
676	29391	14022
677	29437	13980
678	29489	13941
679	29534	13898
680	29579	13855
681	29630	13815
682	29682	13776
683	29732	13735
684	29782	13695
685	29831	13654
686	29879	13613
687	29925	13570
688	29968	13526
689	30011	13483
690	30056	13440
691	30103	13398
692	30148	13355
693	30195	13313
694	30244	13272
695	30292	13231
696	30344	13191
697	30393	13150
698	30443	13109
699	30490	13067
700	30541	13027
701	30593	12986
702	30644	12946
703	30695	12906
704	30746	12865
705	30798	12825
706	30851	12785
707	30900	12744
708	30951	12703
709	31004	12663
710	31056	12623
711	31114	12585
712	31161	12543
713	31205	12499
714	31250	12456
715	31305	12417
716	31360	12378
717	31412	12337
718	31465	12297
719	31515	12256
720	31561	12213
721	31603	12168
722	31654	12127
723	31706	12086
724	31756	12045
725	31807	12004
726	31859	11963
727	31911	11922
728	31960	11881
729	32012	11840
730	32060	11798
731	32110	11756
732	32161	11715
733	32211	11673
734	32267	11633
735	32318	11592
736	32375	11553
737	32432	11513
738	32478	11470
739	32519	11425
740	32561	11381
741	32603	11336
742	32644	11291
743	32688	11247
744	32730	11203
745	32775	11159
746	32817	11114
747	32860	11070
748	32902	11025
749	32944	10981
750	32987	10937
751	33030	10892
752	33072	10848
753	33113	10803
754	33156	10759
755	33199	10715
756	33243	10671
757	33287	10627
758	33332	10583
759	33376	10540
760	33418	10495
761	33461	10451
762	33502	10406
763	33544	10362
764	33587	10317
765	33631	10273
766	33675	10229
767	33718	10185
768	33762	10141
769	33804	10097
770	33847	10053
771	33891	10009
772	33934	9965
773	33976	9920
774	34018	9876
775	34060	9831
776	34104	9787
777	34146	9743
778	34190	9699
779	34233	9655
780	34276	9611
781	34320	9567
782	34362	9523
783	34411	9480
784	34452	9436
785	34493	9391
786	34534	9346
787	34574	9301
788	34617	9257
789	34664	9214
790	34707	9170
791	34747	9125
792	34790	9081
793	34832	9037
794	34874	8992
795	34915	8948
796	34959	8904
797	35002	8860
798	35044	8815
799	35086	8771
800	35129	8727
801	35171	8683
802	35214	8639
803	35258	8595
804	35303	8551
805	35347	8507
806	35390	8463
807	35432	8419
808	35475	8375
809	35515	8330
810	35557	8286
811	35599	8242
812	35644	8198
813	35689	8155
814	35733	8111
815	35777	8067
816	35820	8023
817	35862	7979
818	35906	7935
819	35947	7891
820	35991	7847
821	36033	7802
822	36076	7758
823	36119	7714
824	36162	7670
825	36204	7626
826	36247	7582
827	36289	7538
828	36330	7493
829	36372	7449
830	36421	7406
831	36464	7363
832	36506	7318
833	36548	7274
834	36590	7230
835	36633	7186
836	36678	7142
837	36718	7098
838	36759	7054
839	36802	7009
840	36844	6965
841	36886	6921
842	36928	6877
843	36970	6833
844	37017	6790
845	37059	6745
846	37100	6701
847	37143	6657
848	37187	6613
849	37230	6570
850	37276	6526
851	37319	6482
852	37361	6438
853	37399	6393
854	37440	6349
855	37481	6305
856	37523	6261
857	37564	6217
858	37606	6172
859	37649	6128
860	37692	6085
861	37734	6041
862	37778	5997
863	37820	5953
864	37858	5908
865	37900	5864
866	37943	5820
867	37984	5776
868	38026	5732
869	38069	5688
870	38112	5644
871	38154	5600
872	38197	5556
873	38240	5512
874	38282	5468
875	38327	5425
876	38370	5381
877	38409	5337
878	38454	5293
879	38496	5249
880	38538	5205
881	38579	5161
882	38621	5117
883	38664	5073
884	38708	5029
885	38748	4985
886	38793	4942
887	38836	4898
888	38875	4853
889	38918	4810
890	38961	4766
891	38999	4721
892	39041	4677
893	39082	4633
894	39122	4589
895	39165	4545
896	39205	4501
897	39247	4457
898	39290	4414
899	39333	4370
900	39379	4326
901	39422	4283
902	39463	4239
903	39506	4195
904	39550	4151
905	39592	4107
906	39637	4064
907	39682	4020
908	39728	3977
909	39770	3933
910	39814	3889
911	39856	3845
912	39900	3802
913	39942	3758
914	39984	3714
915	40024	3670
916	40068	3626
917	40111	3582
918	40154	3539
919	40196	3495
920	40239	3451
921	40284	3408
922	40328	3364
923	40369	3320
924	40413	3276
925	40459	3233
926	40501	3189
927	40540	3145
928	40582	3101
929	40626	3057
930	40669	3014
931	40711	2970
932	40754	2926
933	40797	2882
934	40838	2839
935	40878	2795
936	40918	2751
937	40957	2707
938	41001	2663
939	41041	2619
940	41083	2575
941	41126	2532
942	41167	2488
943	41210	2444
944	41252	2400
945	41297	2357
946	41341	2313
947	41384	2270
948	41425	2226
949	41469	2182
950	41509	2138
951	41553	2095
952	41594	2051
953	41638	2007
954	41684	1964
955	41727	1920
956	41769	1876
957	41813	1833
958	41855	1789
959	41895	1745
960	41938	1701
961	41982	1658
962	42024	1614
963	42068	1571
964	42110	1527
965	42151	1483
966	42194	1439
967	42236	1396
968	42279	1352
969	42322	1308
970	42362	1265
971	42406	1221
972	42462	1178
973	42506	1134
974	42547	1090
975	42589	1047
976	42631	1003
977	42673	959
978	42714	916
979	42758	872
980	42800	828
981	42843	785
982	42886	741
983	42927	698
984	42969	654
985	43006	610
986	43050	567
987	43091	523
988	43131	479
989	43173	436
990	43213	392
991	43254	348
992	43300	305
993	43341	261
994	43383	218
995	43426	174
996	43469	130
997	43510	87
998	43554	43
999	43597	0
